Fold,d10_y_test,d10_y_proba,d15_y_test,d15_y_proba,d30_y_test,d30_y_proba,d1_y_test,d1_y_proba,d3_y_test,d3_y_proba,d4_y_test,d4_y_proba
0,True,0.3335749837586717,True,0.3230797977385945,True,0.33081552798761255,True,0.3173768459818547,True,0.3563961897056515,True,0.417452405909951
1,True,0.4789695985983561,True,0.39268783650246,True,0.44844906180081184,True,0.5298582856196627,True,0.49128335621377056,True,0.5499308193774031
2,True,0.6893390091911468,True,0.7103314684256805,True,0.6972036967456094,True,0.6899103279063041,True,0.7390380668721741,True,0.7870244340229382
3,True,0.7615205356938866,True,0.4681741849528012,True,0.6546498319480119,True,0.6899103279063041,True,0.8711673251288325,True,0.8595769152422094
4,True,0.4893927830508213,True,0.5661725656676068,True,0.3822001467551211,True,0.43814125153439754,True,0.304598325559956,True,0.4213513044095572
5,True,0.5003729689579944,True,0.42689093434861297,True,0.48828073122081356,True,0.6899103279063041,True,0.5863575512761219,True,0.5240686384707978
6,True,0.5081864972900808,True,0.5104039994897174,True,0.5410131021654194,True,0.6899103279063041,True,0.5595622599681969,True,0.5240686384707978
7,True,0.6464819455914167,True,0.37706506476328244,True,0.5689713769858837,True,0.6899103279063041,True,0.6511973883944142,True,0.7095197998458462
8,True,0.2808560154119828,True,0.3876279476567064,True,0.23968489682791388,True,0.32612082412877486,True,0.29768751429924206,True,0.2861983565634372
9,True,0.5857151025270744,True,0.519820761989327,True,0.5689713769858837,True,0.6899103279063041,True,0.6657231162969734,True,0.6389877514081718
10,True,0.7277788629313431,True,0.6487021990815893,True,0.736919742423059,True,0.5298582856196627,True,0.7788525606919456,True,0.8135904586381961
11,True,0.45867049463470383,True,0.4418349403127793,True,0.48579949749538937,True,0.32612082412877486,True,0.628235159488883,True,0.6755716956614026
12,True,0.5059065127491582,True,0.37645399667030727,True,0.4209339228558248,True,0.689910327906304,True,0.6657231162969734,True,0.5588247437298919
13,True,0.7615205356938866,True,0.5811515660049243,True,0.7371425228803427,True,0.689910327906304,True,0.8711673251288325,True,0.8595769152422094
14,True,0.4893927830508213,True,0.5119241307561341,True,0.41302767300649973,True,0.32612082412877486,True,0.294243506371916,True,0.29447676850899496
15,True,0.35563475932883176,True,0.4038177689715834,True,0.3632028316313562,True,0.31737684598185467,True,0.304598325559956,True,0.4213513044095572
16,True,0.529455326232004,True,0.337337479909979,True,0.507675005943489,True,0.5298582856196627,True,0.42502201951938123,True,0.5329989072600583
17,True,0.7238111403258464,True,0.46354583924065,True,0.6440161804974786,True,0.689910327906304,True,0.5863575512761219,True,0.6389877514081717
18,True,0.3373843683117911,True,0.3542732650459878,True,0.3625116912973938,True,0.34197587084782494,True,0.37009521609058144,True,0.37009521609058144
19,True,0.5771450204605606,True,0.4826296552296974,True,0.4324034607300689,True,0.45550403479837853,True,0.3778352493371,True,0.37117289013262283
20,True,0.5944492791811649,True,0.4529639789057056,True,0.6549505203792731,True,0.5050497802982944,True,0.6657231162969734,True,0.5588247437298919
21,True,0.5374038127144046,True,0.7351295962010749,True,0.5950762097791957,True,0.32612082412877486,True,0.628235159488883,True,0.6755716956614026
22,True,0.34039472005495724,True,0.5540249533083166,True,0.3655834985044485,True,0.3173768459818547,True,0.3865799893833635,True,0.3973149288235377
23,True,0.5873444888532493,True,0.42920242828380045,True,0.5755661008419998,True,0.689910327906304,True,0.5863575512761219,True,0.6849842327024316
24,True,0.6464819455914167,True,0.3363692223519801,True,0.6335981959136276,True,0.689910327906304,True,0.5863575512761219,True,0.6849842327024316
25,True,0.5229366913522171,True,0.45580136526132736,True,0.469074655038596,True,0.5298582856196627,True,0.4382688098654597,True,0.42473589221004526
26,True,0.5048138108443938,True,0.6308494514087497,True,0.48322053081323796,True,0.35456177473676037,True,0.29768751429924206,True,0.4055193403554271
27,True,0.46684161651719763,True,0.5449732462766932,True,0.38542683475434186,True,0.32612082412877486,True,0.381004120803768,True,0.4967307716680554
28,True,0.4893927830508213,True,0.44982856272295024,True,0.3370537924571484,True,0.32612082412877486,True,0.29768751429924206,True,0.2861983565634372
29,True,0.6031782753960411,True,0.3904378724210605,True,0.5812266156190229,True,0.689910327906304,True,0.5609788730210511,True,0.7283868722963843
30,True,0.5849642271118275,True,0.32876716565937697,True,0.6358239394779864,True,0.689910327906304,True,0.5863575512761219,True,0.6849842327024316
31,True,0.4383241463341095,True,0.4234504249175429,True,0.4765746476590441,True,0.5298582856196627,True,0.4382688098654597,True,0.5499308193774031
32,True,0.7177555064254972,True,0.5056433985535481,True,0.6342485491643267,True,0.689910327906304,True,0.5863575512761219,True,0.5240686384707978
33,True,0.45096003146258473,True,0.45061295657856565,True,0.4851945861785137,True,0.5298582856196627,True,0.4382688098654597,True,0.42473589221004526
34,True,0.3572439011492546,True,0.5100682635865237,True,0.3427793935087608,True,0.32612082412877486,True,0.29768751429924206,True,0.2861983565634372
35,True,0.6893390091911468,True,0.42189347701072216,True,0.7487701173609066,True,0.689910327906304,True,0.8366826262339575,True,0.8757958283818073
36,True,0.5040290223505932,True,0.3604036496955933,True,0.5318485433083278,True,0.689910327906304,True,0.5863575512761219,True,0.5240686384707978
37,True,0.6022981483865709,True,0.7412096494660056,True,0.49831804241558586,True,0.35456177473676037,True,0.441062254225548,True,0.4751371960736884
38,True,0.28013513442504395,True,0.4356738109344638,True,0.2604583071513499,True,0.32612082412877486,True,0.304598325559956,True,0.2861983565634372
39,True,0.4087562474674418,True,0.31760496812904127,True,0.2550372813946088,True,0.32612082412877486,True,0.29768751429924206,True,0.4055193403554271
40,True,0.27451537957479244,True,0.33447687283528454,True,0.26065442933911154,True,0.32612082412877486,True,0.304598325559956,True,0.2861983565634372
41,True,0.5849642271118275,True,0.4449834896764154,True,0.6806763674058782,True,0.689910327906304,True,0.5863575512761219,True,0.6849842327024316
42,True,0.6464819455914167,True,0.3302311106552254,True,0.6335981959136276,True,0.689910327906304,True,0.5863575512761219,True,0.6389877514081718
43,True,0.6296950425062167,True,0.5757070507086994,True,0.6341892728660498,True,0.45550403479837853,True,0.4247329691476302,True,0.6075446784211641
44,True,0.4318271816825558,True,0.3733895489193855,True,0.4117180295994109,True,0.6447001809375592,True,0.5876497234647994,True,0.5202462782141899
45,True,0.5040290223505932,True,0.3159417944501425,True,0.5536059264068377,True,0.689910327906304,True,0.6657231162969734,True,0.5588247437298919
46,True,0.5980772091171519,True,0.4629730076032596,True,0.5131155932633376,True,0.689910327906304,True,0.6657231162969734,True,0.5610270154277288
47,True,0.8837162777472501,True,0.7008825709807769,True,0.8559735399245554,True,0.6447001809375592,True,0.7958500019452149,True,0.871552538962338
48,True,0.3603369411605057,True,0.3678997036241013,True,0.3742427166663135,True,0.5298582856196627,True,0.4382688098654597,True,0.42473589221004526
49,True,0.5149303818071527,True,0.3755478387881647,True,0.5159289087130968,True,0.5293160861056535,True,0.6968329972774046,True,0.6980194063085982
50,False,0.5293925196031607,False,0.4714260929367303,False,0.5317822322931485,False,0.7371046964903138,False,0.7202712282781413,False,0.6577731497136915
51,False,0.5654211837869793,False,0.6420289383019468,False,0.4495680061358854,False,0.3575812678359071,False,0.501431731938351,False,0.4959470533418569
52,False,0.534213842819544,False,0.7627901096392893,False,0.599391935883908,False,0.3575812678359071,False,0.32129777843097995,False,0.31023854091102343
53,False,0.449510310268205,False,0.5029678829690992,False,0.4743423524443066,False,0.3575812678359071,False,0.49821303806450734,False,0.45702755063323225
54,False,0.6421124886943586,False,0.7609821953168507,False,0.6632765030173421,False,0.5770028615691095,False,0.5770796515865179,False,0.5375836684685869
55,False,0.4783853973558019,False,0.4555417927405021,False,0.3557352110962565,False,0.3720628117807437,False,0.49821303806450734,False,0.45702755063323225
56,False,0.49241704604574094,False,0.7128773751538581,False,0.5204545747743909,False,0.3720628117807437,False,0.32129777843097995,False,0.3102385409110235
57,False,0.2972906039609322,False,0.40891681516477013,False,0.42266272663761156,False,0.3575812678359071,False,0.4253882419748175,False,0.37066341278595644
58,False,0.2956856127220442,False,0.6704277263842654,False,0.29105133499391794,False,0.3575812678359071,False,0.32129777843097995,False,0.3102385409110235
59,False,0.5032110972173481,False,0.5595847210576236,False,0.47679184515235823,False,0.5770028615691095,False,0.5770796515865179,False,0.537583668468587
60,False,0.4536730948614996,False,0.4813598743280847,False,0.44022792884481293,False,0.46774614478049087,False,0.32129777843097995,False,0.3102385409110235
61,False,0.6926944046027993,False,0.5966589243054574,False,0.7018557811841298,False,0.7371046964903138,False,0.6536737513540293,False,0.5987328495195261
62,False,0.3541242237194497,False,0.3929268002948453,False,0.3426460566637535,False,0.3720628117807437,False,0.32129777843097995,False,0.35627705039541796
63,False,0.5202198926991037,False,0.4916400304746871,False,0.43711249255318224,False,0.5770028615691095,False,0.5208429752631208,False,0.5091920807567505
64,False,0.29729060396093226,False,0.6999905303426738,False,0.482915371016754,False,0.3575812678359071,False,0.32129777843097995,False,0.35627705039541796
65,False,0.5456496486057052,False,0.49801371946298256,False,0.6088214650783984,False,0.7371046964903138,False,0.6604111957753128,False,0.5987328495195262
66,False,0.5293925196031607,False,0.5587588360134815,False,0.6651943435915134,False,0.7807700796093128,False,0.6604111957753128,False,0.5987328495195262
67,False,0.5425539022318139,False,0.519912335500495,False,0.5684512958482474,False,0.3575812678359071,False,0.5646076728485871,False,0.4181806662709222
68,False,0.536850189917279,False,0.5746438664769026,False,0.5695116116960347,False,0.3720628117807437,False,0.32129777843097995,False,0.3102385409110235
69,False,0.8173423734267635,False,0.5103120666605926,False,0.8147220777031811,False,0.7371046964903138,False,0.7823378011598761,False,0.7690614431162406
70,False,0.3522568485376166,False,0.5608651574361232,False,0.3636979794819596,False,0.3575812678359071,False,0.32129777843097995,False,0.3102385409110235
71,False,0.35520819171194873,False,0.5236331122361496,False,0.39804291962677474,False,0.3720628117807437,False,0.32129777843097995,False,0.3102385409110235
72,False,0.3522568485376166,False,0.47557618102922816,False,0.3521659024162804,False,0.3575812678359071,False,0.32129777843097995,False,0.35627705039541796
73,False,0.4268197173770031,False,0.6523200427198015,False,0.38280510843646925,False,0.3720628117807437,False,0.32129777843097995,False,0.3102385409110235
74,False,0.5710185950047735,False,0.43361745903333554,False,0.5741662233214567,False,0.7203363577219914,False,0.6439283805981297,False,0.6398432865394089
75,False,0.6386083874895746,False,0.5222063551128011,False,0.6222617295621755,False,0.5456285954937338,False,0.4649879209605061,False,0.5950663083185531
