Threshold, ,   ,      ,Baseline Approach,           , ,      ,Disj 10  ,          , ,      ,Disj 15  ,          , ,      ,Disj 30  ,          , ,      ,Disj 10 w/ Sample Data,          , ,      ,Disj 15 w/ Sample Data,          , ,      ,Disj 30 w/ Sample Data,          
         , ,Folds,Recall,Precision        ,Specificity, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty
2.0, ,1,0.0,-1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0
2.0, ,2,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,1.0,1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0
2.0, ,3,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0
2.0, ,4,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,0.0,-1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0
2.0, ,5,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0
Average:            , , ,-0.27,-0.24,-0.3, ,0.58,0.5686274509803921,0.56, ,0.62,0.5740740740740741,0.54, ,0.6,0.6818181818181818,0.72, ,0.52,0.49056603773584906,0.46, ,0.68,0.6538461538461539,0.64, ,0.62,0.6326530612244898,0.64
Standard Deviation: , , ,0.810617048920142,0.8014985963805552,0.7810249675906654, ,0.4935585071701226,0.4952678800123564,0.4963869458396343, ,0.4853864439804639,0.4944825897340255,0.49839743177508455, ,0.4898979485566356,0.4657704893618,0.44899888641287294, ,0.49959983987187184,0.4999109924336517,0.49839743177508455, ,0.46647615158762407,0.47574295680203776,0.48, ,0.4853864439804639,0.482082114735417,0.48
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
