Fold,d10_y_test,d10_y_proba,d15_y_test,d15_y_proba,d30_y_test,d30_y_proba,d1_y_test,d1_y_proba,d3_y_test,d3_y_proba,d4_y_test,d4_y_proba
0,True,0.5367605175050357,True,0.6308085638569505,True,0.624894070325264,True,0.5913388930104688,True,0.6807478843147824,True,0.6476917395711957
1,True,0.4380701390609162,True,0.39602907583376906,True,0.4042876178639094,True,0.4712753068311409,True,0.3939411214796875,True,0.38779309141713536
2,True,0.4711258351717203,True,0.5154127433629064,True,0.43822841036509175,True,0.4712753068311409,True,0.4351488095447389,True,0.444685731260001
3,True,0.3523077711950489,True,0.5354396192834664,True,0.5659051465526829,True,0.42016763096922,True,0.3887603872441591,True,0.3825083344382757
4,True,0.7359161122768462,True,0.6395902736656873,True,0.5521059112715297,True,0.4564229355389248,True,0.5803558418893627,True,0.5399650037577421
5,True,0.7867031896464438,True,0.5225759626146342,True,0.4089870315449933,True,0.4564229355389248,True,0.5803558418893627,True,0.5399650037577421
6,True,0.4079455624639615,True,0.6308085638569505,True,0.5659051465526829,True,0.42016763096922,True,0.3887603872441591,True,0.3409903602110314
7,True,0.578371268476315,True,0.4398787233138586,True,0.37670595318119987,True,0.5913388930104688,True,0.5730110241694972,True,0.6647789134004508
8,True,0.4697578850687598,True,0.6308085638569505,True,0.5234999445645007,True,0.5913388930104688,True,0.48953297896476144,True,0.41282823481462755
9,True,0.6527097743763229,True,0.5125831939919038,True,0.5205802410716484,True,0.4712753068311409,True,0.5803558418893627,True,0.6756429204686044
10,True,0.47925806591305137,True,0.5125831939919038,True,0.4362259403747935,True,0.4227570526309149,True,0.4351488095447389,True,0.444685731260001
11,True,0.42287083795220126,True,0.4398787233138586,True,0.31091090705253555,True,0.5913388930104688,True,0.2993431695737412,True,0.3027258749065864
12,True,0.46074328076789733,True,0.309281115946137,True,0.3623818797327668,True,0.45642293553892477,True,0.4812336330513693,True,0.4512863202059788
13,True,0.6975995000131225,True,0.8215812383606594,True,0.7108926902847343,True,0.6951834095359025,True,0.6250224762371478,True,0.5721214677404157
14,True,0.578371268476315,True,0.4398787233138586,True,0.3048407621809016,True,0.5913388930104688,True,0.63948845468271,True,0.6221383319166172
15,True,0.5465007600253895,True,0.4693810745068443,True,0.4057420824562111,True,0.4712753068311409,True,0.4351488095447389,True,0.5679911540358796
16,True,0.5072583213938838,True,0.5125831939919038,True,0.49649624133673975,True,0.4564229355389248,True,0.5803558418893627,True,0.5399650037577421
17,True,0.41233227651367216,True,0.5354396192834664,True,0.46069356837054165,True,0.5913388930104688,True,0.48953297896476156,True,0.3859862007257028
18,True,0.5424745710581925,True,0.6308085638569505,True,0.589796915594496,True,0.42016763096922,True,0.4899101117065769,True,0.6316582325754487
19,True,0.3218385027123626,True,0.34968674383644693,True,0.42196532101190176,True,0.44238311099364225,True,0.4154516671859199,True,0.3859862007257028
20,True,0.4079455624639615,True,0.442025381794356,True,0.43496507281306385,True,0.4564229355389248,True,0.4351488095447389,True,0.42616564047325217
21,True,0.7066755370679341,True,0.6805466425141912,True,0.49178935367270066,True,0.4564229355389248,True,0.4351488095447389,True,0.42616564047325217
22,True,0.2367830738400355,True,0.32526024931237435,True,0.36562946339255786,True,0.4126361539207959,True,0.3887603872441591,True,0.3825083344382757
23,True,0.4730878470920631,True,0.4236518884396068,True,0.4709727040100516,True,0.4712753068311409,True,0.5803558418893627,True,0.5399650037577421
