Biomarker,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
BFRF3_IgA,-0.05893155778435799,-0.05838094349164321,-0.05861824607265978,-0.06041592746879965,-0.0559264551962344,-0.05991223840784898,-0.059852564758142976,-0.06023691860170046,-0.05604161212200632,-0.05858575354916014,-0.05865927066903687,-0.05767731832513139,-0.05922471807294432,-0.06254669219552542,-0.05784139813843102,-0.05713795896568474,-0.06026644576141176,-0.05881169087329128,-0.05978465774119169,-0.05884068245800387,-0.0586767236431595,-0.05876257233886725,-0.0642826266693813,-0.05758263376568864,-0.057919578466476045,-0.05584241641713967,-0.05735542792132928,-0.05858622742595694,-0.05578203488342625,-0.05863544497270851,-0.05907541404002073,-0.0577028976542023,-0.05920072725815106,-0.05468641971316004,-0.056968020949247404,-0.05570812035186847,-0.0569129414733231,-0.05698594421767765,-0.05531932289393067,-0.055819577595458324,-0.05514453458321206,-0.05755503263452203,-0.05597651018197385,-0.058041984881531256,-0.058585828255520084,-0.057880148762411446,-0.06019861022967476,-0.05946112804150487,-0.057012311171978476,-0.05904647126048892,-0.05354579092722567,-0.05653231395828396,-0.052009761245836526,-0.05336585611071962,-0.05138370880929885,-0.06619898716380661,-0.06721473498484352,-0.05687208946685196,-0.0573976463338611,-0.055930882705828,-0.06457488016380372,-0.05650393244335686,-0.06706606150390927,-0.05465309191557471,-0.056475724742391785,-0.05705978707941134,-0.053493254170140295,-0.05305668774436285,-0.06305766260206791,-0.05497094335074512,-0.05322851671015387,-0.0657505795268018,-0.053587254605482824,-0.06502769781180259,-0.05475122155554863,-0.05370205995300035,-0.06626524207409715,-0.055140935315963584,-0.05261073114741709,-0.06158286848108964,-0.06266167302754697,-0.05644148443825711,-0.05539779033446971,-0.0669906417170414,-0.06533127819925637,-0.05147321298892849,-0.06403255416681088,-0.052941719729230924,-0.054908534678693215,-0.05574387003948409,-0.055765816012752226,-0.05337192706736197,-0.05370283491761609,-0.06454326151725616,-0.05504504030217225,-0.05502660561384116,-0.0553089629156544,-0.06430501532171089,-0.05455036562787749,-0.054203772266904496
HP0993_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
rpsR_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.13340602958697775,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
porA_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HP0386_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
H. Pylori1_IgA,-0.2150798345138743,-0.20891390995682682,-0.2119053719267828,-0.21481435016967257,-0.20734834529965407,-0.20796048832516908,-0.20836486844445312,-0.21576507275011442,-0.20843277453691675,-0.2086169065510207,-0.21345685054991934,-0.2150431078853989,-0.2077010665075381,-,-0.20729768211137314,-0.20642783856426936,-0.21237706022094288,-0.2135585834637223,-0.2147618831042945,-0.20983803329712375,-0.2120310221469797,-0.20913712281788432,-,-0.2051321081129508,-0.21193173680719432,-0.20788876961130098,-0.21193180486555627,-0.21152762852245788,-0.20651252013630003,-0.21380613396580145,-0.2102999986024893,-0.20749935761201174,-0.20782003416275274,-0.20405868164714625,-0.20933560224673356,-0.20441262939370552,-0.20604791683620677,-0.21209186064997573,-0.20957492965945648,-0.21147128297867604,-0.20873647304586943,-0.21113426625914797,-0.20405319520469048,-0.20966082116611756,-0.2089869621559695,-0.2055366685917251,-0.20725651871045003,-0.213148401821526,-0.20668681477967935,-0.2111057114164805,-0.21058569241315697,-0.21127282324222504,-0.2103394085494631,-0.2119963179002163,-0.21099015188833603,-0.2049535771151631,-0.21051456311841496,-0.212151433699446,-0.21545501149476648,-0.214722347143303,-0.21390884127936846,-0.21221455482352847,-0.20849644234212208,-0.20821584206614024,-0.21101720163031518,-0.21523715748254793,-0.21149708001980913,-0.21071520080706674,-0.2159815428392018,-0.20800466204075851,-0.21082277159279686,-0.21146443484151686,-0.20935572452758824,-0.2134187475948518,-0.2131159732427194,-0.20935017829288682,-0.21356967983516245,-0.21186237996773294,-0.2100917862278607,-0.1980133656439611,-0.21080500309801697,-0.214108228668719,-0.20209118769188988,-0.2088388503076197,-0.2104726622064781,-0.20638483386891052,-0.2065960935514784,-0.20831585803797364,-0.20513539479379458,-0.20583494458832824,-0.21263567267822792,-0.20957465298216257,-0.21193672527404658,-0.20958565303465845,-0.210642707784891,-0.21199965854950722,-0.2147465655287641,-0.21084174788450322,-0.21242405977666914,-0.21211846302927903
HP1057_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HP1223_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HP1225_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
rplO_IgA,-,-0.18287342857293526,-,-,-0.18242856659424314,-0.18259342797444536,-0.1829294652576588,-,-0.1831267781630339,-0.1825808057449162,-,-,-0.18240115130269868,-,-0.18202593218219726,-,-0.1858955136272567,-,-,-,-,-0.18315410177374905,-,-0.1797367611044739,-,-,-,-,-0.18112131997983402,-,-,-0.18130122474524749,-0.1822815104073054,-,-,-,-0.1808980197101689,-0.18536874128873915,-0.18329977879000117,-,-,-,-0.17851777994613394,-0.18236246648186494,-,-0.1776675776180386,-,-,-0.17875739491799558,-0.18492786205093573,-,-,-,-,-,-0.17890955526759558,-,-,-,-,-,-,-,-0.1821322455866939,-0.18483727502193945,-,-,-,-,-0.18197757583395563,-,-0.18547902532298294,-0.1834347963578196,-,-,-,-,-,-,-0.1731715504099733,-,-0.1876676669852023,-0.17789280101816943,-,-,-,-0.1804769441075068,-,-0.18004615922031833,-0.18147369223800586,-,-,-,-,-,-,-,-,-,-
