Biomarker,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
BFRF3_IgA,-0.0065387780862447495,-0.006225694273398035,-0.006113585880924297,-0.0062935546747056115,-0.006048252624332623,-0.005991166048914251,-0.006388822143578104,-0.006444194119374857,-0.0060274419354636646,-0.006271111284284624,-0.006164906026536072,-0.00645448519458551,-0.005935947490229618,-0.007822003329717227,-0.006152166428975925,-0.0060148836041379414,-0.006252352499357857,-0.006185090101062359,-0.006370860940836249,-0.006157701741112647,-0.006482941952452771,-0.0055748348684727,-0.00751327116847988,-0.006129306174584952,-0.006417120029122579,-0.006352022076520511,-0.006777768513728781,-0.005667647363252531,-0.005378139665376043,-0.006397916148399078,-0.005765327437048435,-0.006329881584562787,-0.005986920973866044,-0.006098951636832301,-0.006385288329027304,-0.006077378775566705,-0.005820379310338379,-0.006454544780010004,-0.005489973532716456,-0.006499786172925541,-0.005539869856795625,-0.00647233499369328,-0.0062200696104143804,-0.005863361665965782,-0.006286246010080471,-0.005300172274915841,-0.005453559866499664,-0.006452965115575022,-0.006230218441548262,-0.006291936554648751,-0.006906942854955617,-0.006456095655278433,-0.0064157350043912605,-0.0066085793683527,-0.006736780562144953,-0.006125954942622914,-0.00661616173592185,-0.006731166723592039,-0.006617262696390622,-0.006457604271813791,-0.006414778467785795,-0.006126845096352251,-0.005979115686593733,-0.0062943379495894545,-0.006225120540763079,-0.006479187361895237,-0.006800200104026508,-0.006466367072345511,-0.006806389262012922,-0.0061877544007318845,-0.0067528884794661,-0.006228546792719029,-0.006898342726057467,-0.005390909653696852,-0.006778565078055229,-0.006400327686539281,-0.006135032461407793,-0.005776895728397839,-0.00679414884969603,-0.005907496401293665,-0.006871867358725383,-0.005649839727699834,-0.005486791713176351,-0.006551383711053579,-0.005899293872481812,-0.006426119654707901,-0.0061794145189704415,-0.006377283099779898,-0.005841607056391134,-0.005542258550945259,-0.006706031974335823,-0.0059380741306698116,-0.006402868664548244,-0.006510531708133793,-0.005896097747939391,-0.006738955094586264,-0.006915211406489607,-0.007020869577140929,-0.0066445654051355925,-0.0069798116900479604
HP0993_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
rpsR_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.004305012265076707,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
porA_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HP0386_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
H. Pylori1_IgA,-0.0065387780862447495,-0.006225694273398035,-0.006113585880924297,-0.0062935546747056115,-0.006048252624332623,-0.005991166048914251,-0.006388822143578104,-0.006444194119374857,-0.0060274419354636646,-0.006271111284284624,-0.006164906026536072,-0.00645448519458551,-0.005935947490229618,-,-0.006152166428975925,-0.0060148836041379414,-0.006252352499357857,-0.006185090101062359,-0.006370860940836249,-0.006157701741112647,-0.006482941952452771,-0.0055748348684727,-,-0.006129306174584952,-0.006417120029122579,-0.006352022076520511,-0.006777768513728781,-0.005667647363252531,-0.005378139665376043,-0.006397916148399078,-0.005765327437048435,-0.006329881584562787,-0.005986920973866044,-0.006098951636832301,-0.006385288329027304,-0.006077378775566705,-0.005820379310338379,-0.006454544780010004,-0.005489973532716456,-0.006499786172925541,-0.005539869856795625,-0.00647233499369328,-0.0062200696104143804,-0.005863361665965782,-0.006286246010080471,-0.005300172274915841,-0.005453559866499664,-0.006452965115575022,-0.006230218441548262,-0.006291936554648751,-0.006906942854955617,-0.006456095655278433,-0.0064157350043912605,-0.0066085793683527,-0.006736780562144953,-0.006125954942622914,-0.00661616173592185,-0.006731166723592039,-0.006617262696390622,-0.006457604271813791,-0.006414778467785795,-0.006126845096352251,-0.005979115686593733,-0.0062943379495894545,-0.006225120540763079,-0.006479187361895237,-0.006800200104026508,-0.006466367072345511,-0.006806389262012922,-0.0061877544007318845,-0.0067528884794661,-0.006228546792719029,-0.006898342726057467,-0.005390909653696852,-0.006778565078055229,-0.006400327686539281,-0.006135032461407793,-0.005776895728397839,-0.00679414884969603,-0.005907496401293665,-0.006871867358725383,-0.005649839727699834,-0.005378812013359917,-0.006551383711053579,-0.005899293872481812,-0.006426119654707901,-0.0061794145189704415,-0.006377283099779898,-0.005841607056391134,-0.005542258550945259,-0.006706031974335823,-0.0059380741306698116,-0.006402868664548244,-0.006510531708133793,-0.005896097747939391,-0.006738955094586264,-0.006915211406489607,-0.007020869577140929,-0.0066445654051355925,-0.0069798116900479604
HP1057_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HP1223_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HP1225_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
rplO_IgA,-,-0.006225694273398035,-,-,-0.006048252624332623,-0.005991166048914251,-0.006388822143578104,-,-0.0060274419354636646,-0.006271111284284624,-,-,-0.005935947490229618,-,-0.006152166428975925,-,-0.006252352499357857,-,-,-,-,-0.0055748348684727,-,-0.006129306174584952,-,-,-,-,-0.005378139665376043,-,-,-0.006329881584562787,-0.005986920973866044,-,-,-,-0.005820379310338379,-0.006454544780010004,-0.005489973532716456,-,-,-,-0.0062200696104143804,-0.005863361665965782,-,-0.005300172274915841,-,-,-0.006230218441548262,-0.006291936554648751,-,-,-,-,-,-0.006125954942622914,-,-,-,-,-,-,-,-0.0062943379495894545,-0.006225120540763079,-,-,-,-,-0.0061877544007318845,-,-0.006228546792719029,-0.006898342726057467,-,-,-,-,-,-,-0.005907496401293665,-,-0.005649839727699834,-0.005378812013359917,-,-,-,-0.0061794145189704415,-,-0.005841607056391134,-0.005542258550945259,-,-,-,-,-,-,-,-,-,-
