Fold,d10_y_test,d10_y_proba,d15_y_test,d15_y_proba,d30_y_test,d30_y_proba,d10wS_y_test,d10wS_y_proba,d15wS_y_test,d15wS_y_proba,d30wS_y_test,d30wS_y_proba
51,False,0.5451194157901572,False,0.5451194157901572,False,0.5451194157901572,False,0.9,False,0.2,False,0.4
52,False,0.5266892595880599,False,0.5451194157901572,False,0.5451194157901572,False,0.0,False,1.0,False,0.7
53,False,0.5266892595880599,False,0.5451194157901572,False,0.5451194157901572,False,1.0,False,0.6,False,0.2
54,False,0.5266892595880599,False,0.5451194157901572,False,0.5451194157901572,False,1.0,False,0.7,False,1.0
55,False,0.5451194157901572,False,0.5451194157901572,False,0.5451194157901572,False,0.9,False,0.4,False,0.6
56,False,0.5266892595880599,False,0.5451194157901572,False,0.5451194157901572,False,1.0,False,0.5,False,0.4
57,False,0.5266892595880599,False,0.5451194157901572,False,0.5451194157901572,False,0.3,False,0.9,False,0.6
58,False,0.498069409320275,False,0.37909381701726225,False,0.37909381701726225,False,0.0,False,0.4,False,0.4
59,False,0.5266892595880599,False,0.5451194157901572,False,0.5451194157901572,False,0.8,False,0.9,False,0.4
60,False,0.37909381701726225,False,0.37909381701726225,False,0.37909381701726225,False,0.0,False,0.0,False,0.2
61,False,0.498069409320275,False,0.32685858344461854,False,0.32685858344461854,False,0.6,False,0.2,False,0.0
62,False,0.498069409320275,False,0.5451194157901572,False,0.5451194157901572,False,0.6,False,0.8,False,0.8
63,False,0.498069409320275,False,0.32685858344461854,False,0.32685858344461854,False,0.1,False,0.1,False,0.1
64,False,0.5266892595880599,False,0.32685858344461854,False,0.32685858344461854,False,0.3,False,0.2,False,0.1
65,False,0.5409290526296981,False,0.5409290526296981,False,0.5409290526296981,False,0.7,False,0.2,False,0.1
66,False,0.5266892595880599,False,0.5451194157901572,False,0.5451194157901572,False,0.1,False,0.8,False,0.8
67,False,0.5266892595880599,False,0.5451194157901572,False,0.5451194157901572,False,1.0,False,0.9,False,0.4
68,False,0.498069409320275,False,0.5451194157901572,False,0.5451194157901572,False,0.6,False,0.0,False,0.3
69,False,0.5266892595880599,False,0.32685858344461854,False,0.32685858344461854,False,0.0,False,0.1,False,0.4
70,False,0.5873486025191841,False,0.5451194157901572,False,0.5451194157901572,False,1.0,False,1.0,False,0.5
71,False,0.5451194157901572,False,0.5451194157901572,False,0.5451194157901572,False,1.0,False,0.8,False,0.8
72,False,0.498069409320275,False,0.5451194157901572,False,0.5451194157901572,False,0.1,False,0.9,False,0.7
73,False,0.5266892595880599,False,0.5451194157901572,False,0.5451194157901572,False,1.0,False,0.6,False,0.5
74,False,0.5266892595880599,False,0.5451194157901572,False,0.5451194157901572,False,0.6,False,0.9,False,0.8
75,False,0.5790484503147514,False,0.5451194157901572,False,0.5451194157901572,False,1.0,False,0.4,False,0.6
76,False,0.498069409320275,False,0.32685858344461854,False,0.32685858344461854,False,1.0,False,0.2,False,0.3
77,False,0.5451194157901572,False,0.5451194157901572,False,0.5451194157901572,False,0.8,False,0.4,False,0.2
78,False,0.5266892595880599,False,0.5451194157901572,False,0.5451194157901572,False,0.2,False,0.3,False,0.3
79,False,0.5266892595880599,False,0.32685858344461854,False,0.32685858344461854,False,0.0,False,0.0,False,0.3
80,False,0.32685858344461854,False,0.32685858344461854,False,0.32685858344461854,False,0.0,False,0.0,False,0.1
81,False,0.498069409320275,False,0.32685858344461854,False,0.32685858344461854,False,0.2,False,0.0,False,0.0
82,False,0.5266892595880599,False,0.32685858344461854,False,0.32685858344461854,False,0.7,False,0.1,False,0.0
83,False,0.5473777567277155,False,0.5451194157901572,False,0.5451194157901572,False,0.9,False,0.3,False,0.6
