Threshold, ,   ,      ,Baseline Approach,           , ,      ,Disj 10  ,          , ,      ,Disj 15  ,          , ,      ,Disj 30  ,          , ,      ,Disj 10 w/ Sample Data,          , ,      ,Disj 15 w/ Sample Data,          , ,      ,Disj 30 w/ Sample Data,          
         , ,Folds,Recall,Precision        ,Specificity, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty
2.0, ,1,-1.0,-1.0,1.0, ,-1.0,0.0,0.0, ,-1.0,-1.0,1.0, ,-1.0,0.0,0.0, ,-1.0,0.0,0.0, ,-1.0,-1.0,1.0, ,-1.0,0.0,0.0
2.0, ,2,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0
2.0, ,3,-1.0,0.0,0.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0
2.0, ,4,-1.0,0.0,0.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0
2.0, ,5,-1.0,0.0,0.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0
Average:            , , ,-1.0,-0.4,0.4, ,nan,0.0,0.76, ,nan,0.0,0.96, ,nan,0.0,0.76, ,nan,0.0,0.68, ,nan,0.0,0.8, ,nan,0.0,0.68
Standard Deviation: , , ,0.0,0.4898979485566356,0.4898979485566356, ,nan,0.0,0.4270831300812525, ,nan,0.0,0.19595917942265428, ,nan,0.0,0.4270831300812525, ,nan,0.0,0.466476151587624, ,nan,0.0,0.4, ,nan,0.0,0.466476151587624
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
