Threshold, ,   ,      ,Baseline Approach,           , ,      ,Disj 10  ,          , ,      ,Disj 15  ,          , ,      ,Disj 30  ,          , ,      ,Disj 10 w/ Sample Data,          , ,      ,Disj 15 w/ Sample Data,          , ,      ,Disj 30 w/ Sample Data,          
         , ,Folds,Recall,Precision        ,Specificity, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty
1.6, ,1,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,1.0,1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0
1.6, ,2,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0
1.6, ,3,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0
1.6, ,4,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,0.0,-1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0
1.6, ,5,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0
Average:            , , ,0.44,-0.12,-1.0, ,0.48,1.0,nan, ,0.2,1.0,nan, ,0.48,1.0,nan, ,0.64,1.0,nan, ,0.48,1.0,nan, ,0.48,1.0,nan
Standard Deviation: , , ,0.4963869458396343,0.9927738916792685,0.0, ,0.4995998398718719,0.0,nan, ,0.4,0.0,nan, ,0.4995998398718719,0.0,nan, ,0.48000000000000004,0.0,nan, ,0.4995998398718719,0.0,nan, ,0.4995998398718719,0.0,nan
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
