Threshold, ,   ,      ,Baseline Approach,           , ,      ,Disj 10  ,          , ,      ,Disj 15  ,          , ,      ,Disj 30  ,          , ,      ,Disj 10 w/ Sample Data,          , ,      ,Disj 15 w/ Sample Data,          , ,      ,Disj 30 w/ Sample Data,          
         , ,Folds,Recall,Precision        ,Specificity, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty
1.4, ,1,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,1.0,1.0,-1.0, ,0.0,-1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,0.0,-1.0,-1.0
1.4, ,2,0.0,-1.0,-1.0, ,1.0,1.0,-1.0, ,0.0,-1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0
1.4, ,3,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0
1.4, ,4,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,0.0,-1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,1.0,1.0,-1.0, ,0.0,-1.0,-1.0
1.4, ,5,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0, ,0.0,-1.0,-1.0
Average:            , , ,0.52,0.04,-1.0, ,0.6,1.0,nan, ,0.2,1.0,nan, ,0.6,1.0,nan, ,0.4,1.0,nan, ,0.48,1.0,nan, ,0.4,1.0,nan
Standard Deviation: , , ,0.4995998398718719,0.9991996797437438,0.0, ,0.4898979485566356,0.0,nan, ,0.4,0.0,nan, ,0.4898979485566356,0.0,nan, ,0.48989794855663565,0.0,nan, ,0.4995998398718719,0.0,nan, ,0.48989794855663565,0.0,nan
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
