Threshold, ,   ,      ,Baseline Approach,           , ,      ,Disj 10  ,          , ,      ,Disj 15  ,          , ,      ,Disj 30  ,          , ,      ,Disj 10 w/ Sample Data,          , ,      ,Disj 15 w/ Sample Data,          , ,      ,Disj 30 w/ Sample Data,          
         , ,Folds,Recall,Precision        ,Specificity, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty
2.0, ,1,-1.0,0.0,0.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0
2.0, ,2,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,0.0,0.0, ,-1.0,-1.0,1.0, ,-1.0,0.0,0.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0
2.0, ,3,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0
2.0, ,4,-1.0,0.0,0.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0
2.0, ,5,-1.0,0.0,0.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0, ,-1.0,-1.0,1.0
Average:            , , ,-1.0,-0.4,0.4, ,nan,0.0,0.92, ,nan,0.0,0.88, ,nan,0.0,0.92, ,nan,0.0,0.72, ,nan,0.0,0.88, ,nan,0.0,0.76
Standard Deviation: , , ,0.0,0.4898979485566356,0.4898979485566356, ,nan,0.0,0.2712931993250107, ,nan,0.0,0.3249615361854384, ,nan,0.0,0.2712931993250107, ,nan,0.0,0.44899888641287294, ,nan,0.0,0.32496153618543844, ,nan,0.0,0.4270831300812525
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
