Fold,1_y_test,1_y_proba,3_y_test,3_y_proba,4_y_test,4_y_proba,,,,,,
56,FALSE,0.3720628118,FALSE,0.5170935448,FALSE,0.4570275506,,,,,,
,,,,,,,,,,,,
57,FALSE,0.3720628118,FALSE,0.3147011879,FALSE,0.3102385409,,,,,,
,,,,,,,,,,,,
58,FALSE,0.3575812678,FALSE,0.3621890814,FALSE,0.3706634128,,,,,,
,,,,,,,,,,,,
59,FALSE,0.3575812678,FALSE,0.3147011879,FALSE,0.3102385409,,,,,,
,,,,,,,,,,,,
60,FALSE,0.5770028616,FALSE,0.5789644429,FALSE,0.5375836685,,,,,,
,,,,,,,,,,,,
61,FALSE,0.4677461448,FALSE,0.3147011879,FALSE,0.3102385409,,,,,,
,,,,,,,,,,,,
62,FALSE,0.7371046965,FALSE,0.6389422891,FALSE,0.5987328495,,,,,,
,,,,,,,,,,,,
63,FALSE,0.3720628118,FALSE,0.4104332684,FALSE,0.3562770504,,,,,,
,,,,,,,,,,,,
64,FALSE,0.5770028616,FALSE,0.5239652601,FALSE,0.5203159728,,,,,,
,,,,,,,,,,,,
65,FALSE,0.3575812678,FALSE,0.4104332684,FALSE,0.3562770504,,,,,,
,,,,,,,,,,,,
66,FALSE,0.7371046965,FALSE,0.6389422891,FALSE,0.5987328495,,,,,,
,,,,,,,,,,,,
67,FALSE,0.7807700796,FALSE,0.6389422891,FALSE,0.5987328495,,,,,,
,,,,,,,,,,,,
68,FALSE,0.3575812678,FALSE,0.5613465766,FALSE,0.4181806663,,,,,,
,,,,,,,,,,,,
69,FALSE,0.3720628118,FALSE,0.3147011879,FALSE,0.3179297022,,,,,,
,,,,,,,,,,,,
70,FALSE,0.7371046965,FALSE,0.6389422891,FALSE,0.5987328495,,,,,,
,,,,,,,,,,,,
71,FALSE,0.3575812678,FALSE,0.3147011879,FALSE,0.3102385409,,,,,,
,,,,,,,,,,,,
72,FALSE,0.3720628118,FALSE,0.3147011879,FALSE,0.3102385409,,,,,,
,,,,,,,,,,,,
73,FALSE,0.3575812678,FALSE,0.4104332684,FALSE,0.3562770504,,,,,,
,,,,,,,,,,,,
74,FALSE,0.3720628118,FALSE,0.3147011879,FALSE,0.3102385409,,,,,,
,,,,,,,,,,,,
75,FALSE,0.7203363577,FALSE,0.7015703879,FALSE,0.6398432865,,,,,,
,,,,,,,,,,,,
76,FALSE,0.5456285955,FALSE,0.6435016011,FALSE,0.5950663083,,,,,,
,,,,,,,,,,,,
77,FALSE,0.3720628118,FALSE,0.3147011879,FALSE,0.3102385409,,,,,,
,,,,,,,,,,,,
78,FALSE,0.3575812678,FALSE,0.3147011879,FALSE,0.3102385409,,,,,,
,,,,,,,,,,,,
79,FALSE,0.3575812678,FALSE,0.3147011879,FALSE,0.3102385409,,,,,,
,,,,,,,,,,,,
80,FALSE,0.7125085001,FALSE,0.8123626801,FALSE,0.7396278379,,,,,,
,,,,,,,,,,,,
81,FALSE,0.3720628118,FALSE,0.3147011879,FALSE,0.3102385409,,,,,,
,,,,,,,,,,,,
82,FALSE,0.3575812678,FALSE,0.3147011879,FALSE,0.3102385409,,,,,,
,,,,,,,,,,,,
83,FALSE,0.3575812678,FALSE,0.7240729848,FALSE,0.7427644995,,,,,,
,,,,,,,,,,,,
84,FALSE,0.3720628118,FALSE,0.3621890814,FALSE,0.3706634128,,,,,,
,,,,,,,,,,,,
85,FALSE,0.3720628118,FALSE,0.5170935448,FALSE,0.4570275506,,,,,,
,,,,,,,,,,,,
86,FALSE,0.3575812678,FALSE,0.5170935448,FALSE,0.4570275506,,,,,,
,,,,,,,,,,,,
87,FALSE,0.3720628118,FALSE,0.3147011879,FALSE,0.3102385409,FALSE,0.2,FALSE,0.4,FALSE,0.3
,,,,,,,,,,,,
88,FALSE,0.5770028616,FALSE,0.5864656522,FALSE,0.635756744,FALSE,0.2,FALSE,0.3,FALSE,0.5
,,,,,,,,,,,,
89,FALSE,0.5770028616,FALSE,0.6425536269,FALSE,0.6312857208,FALSE,0.1,FALSE,0.5,FALSE,0.5
,,,,,,,,,,,,
90,FALSE,0.3575812678,FALSE,0.4492950493,FALSE,0.5399444107,FALSE,0,FALSE,0.3,FALSE,0.6
,,,,,,,,,,,,
91,FALSE,0.3575812678,FALSE,0.3147011879,FALSE,0.3102385409,FALSE,0,FALSE,0.2,FALSE,0.2
,,,,,,,,,,,,
92,FALSE,0.5770028616,FALSE,0.5789644429,FALSE,0.5375836685,FALSE,0.9,FALSE,0.5,FALSE,0.8
,,,,,,,,,,,,
93,FALSE,0.5770028616,FALSE,0.6626325137,FALSE,0.6602864671,FALSE,0.3,FALSE,0.6,FALSE,0.3
,,,,,,,,,,,,
94,FALSE,0.3720628118,FALSE,0.3147011879,FALSE,0.3102385409,FALSE,0.1,FALSE,0.1,FALSE,0.2
,,,,,,,,,,,,
95,FALSE,0.3575812678,FALSE,0.3147011879,FALSE,0.3102385409,FALSE,0.8,FALSE,0.1,FALSE,0.3
,,,,,,,,,,,,
96,FALSE,0.7672280994,FALSE,0.6708059048,FALSE,0.7012364979,FALSE,1,FALSE,0.6,FALSE,0.8
,,,,,,,,,,,,
97,FALSE,0.3575812678,FALSE,0.3147011879,FALSE,0.3102385409,FALSE,0.5,FALSE,0,FALSE,0.1
,,,,,,,,,,,,
98,FALSE,0.3720628118,FALSE,0.3147011879,FALSE,0.3102385409,FALSE,0.2,FALSE,0.3,FALSE,0.3
,,,,,,,,,,,,
99,FALSE,0.3575812678,FALSE,0.3147011879,FALSE,0.3102385409,FALSE,0,FALSE,0,FALSE,0
,,,,,,,,,,,,
100,FALSE,0.7371046965,FALSE,0.6389422891,FALSE,0.6098557644,FALSE,0.4,FALSE,0.5,FALSE,0.6
