Fold,d10_y_test,d10_y_proba,d15_y_test,d15_y_proba,d30_y_test,d30_y_proba,d10wS_y_test,d10wS_y_proba,d15wS_y_test,d15wS_y_proba,d30wS_y_test,d30wS_y_proba
0,True,0.4318715364116664,True,0.47622518423458293,True,0.3942969624345501,True,0.6,True,0.4,True,0.6
1,True,0.5922347506557419,True,0.38564264537943727,True,0.5959770011944222,True,0.714383116883117,True,0.17854518589847446,True,0.6599999999999999
2,True,0.7121038464956366,True,0.6199222112224893,True,0.6339964720473791,True,1.0,True,0.925,True,0.7
3,True,0.5908473899414227,True,0.3838773334206883,True,0.6121294963270357,True,0.8300000000000001,True,0.4,True,0.6
4,True,0.30722084846485576,True,0.43463206741353344,True,0.31066049333353446,True,0.12995118307618309,True,0.2631883802472038,True,0.0
5,True,0.5164621154433426,True,0.3865959074012002,True,0.5249953718458177,True,0.21547619047619046,True,0.2,True,0.5
6,True,0.519933754996054,True,0.43821756394856465,True,0.5290425666310992,True,0.28545454545454546,True,0.31755947937735524,True,0.9
7,True,0.5176062900548298,True,0.40053108353305944,True,0.5266343636451738,True,0.635,True,0.12285714285714286,True,0.0
8,True,0.30576328868967373,True,0.3870136682511261,True,0.3144900337758903,True,0.08641809597052562,True,0.25684260304912476,True,0.23190476190476192
9,True,0.5184803738730145,True,0.5143027566588829,True,0.5249953718458177,True,0.636626984126984,True,0.4,True,0.8
10,True,0.6561543506590432,True,0.5058941730957693,True,0.6145984142737202,True,0.7566666666666667,True,0.6470588235294118,True,0.8
11,True,0.539663798082445,True,0.5704553327246071,True,0.4979627732043306,True,0.5,True,0.6,True,0.6
12,True,0.5103937462000321,True,0.38564264537943727,True,0.5249953718458177,True,0.4978571428571429,True,0.19269336658383315,True,0.1
13,True,0.8297062377547771,True,0.6447120784252427,True,0.7601151372768754,True,0.8,True,0.8,True,0.8
14,True,0.30641805169837744,True,0.4393867630031473,True,0.3797765528110319,True,0.39514652014652013,True,0.2962566844919786,True,0.5
15,True,0.30576328868967373,True,0.4005263015644758,True,0.30900165384952294,True,0.09264792610061154,True,0.1,True,0.4
16,True,0.6098889066316749,True,0.49960121399953744,True,0.6304540911966194,True,0.6682783882783883,True,0.3,True,0.7
17,True,0.5184803738730145,True,0.46851961838504436,True,0.5249953718458177,True,0.480921855921856,True,0.6770833333333333,True,0.1983333333333333
18,True,0.3051856825643952,True,0.46851961838504436,True,0.31753077641003474,True,0.375,True,0.5,True,0.4
19,True,0.30548272565337187,True,0.4944478480274865,True,0.3773531699852188,True,0.22885642135642134,True,0.5357575757575758,True,0.3
20,True,0.5103937462000321,True,0.4944478480274865,True,0.5936685708645081,True,0.4216666666666667,True,0.7,True,0.575
21,True,0.5301259450358676,True,0.6239583201298332,True,0.49886240416602656,True,0.7,True,0.7960227272727273,True,0.8
22,True,0.5984857163499311,True,0.7307378304062427,True,0.6218831658151053,True,0.7,True,0.5,True,0.6
23,True,0.6531342065449461,True,0.40053108353305944,True,0.6051544676171083,True,1.0,True,0.261501554001554,True,0.2592857142857143
24,True,0.587835659586285,True,0.4539347991479686,True,0.5959770011944222,True,0.9625,True,0.23737373737373738,True,0.9
