Fold,1_y_test,1_y_proba,3_y_test,3_y_proba,4_y_test,4_y_proba,d10wS_y_test,d10wS_y_proba,d15wS_y_test,d15wS_y_proba,d30wS_y_test,d30wS_y_proba
1.0,True,0.3368842035083267,True,0.43222591617084266,True,0.48552823499413783,True,0.31068297768297304,True,0.43568181818181817,True,0.6961904761904761
2.0,True,0.6859889721640603,True,0.5966476935204925,True,0.6891889450308456,True,0.7090939351907064,True,0.6235882173382173,True,1.0
3.0,True,0.6859889721640603,True,0.7033495238696011,True,0.7677419605473503,True,0.7406487539194306,True,0.7288888888888889,True,0.9083333333333334
4.0,True,0.6859889721640603,True,0.7311601421722882,True,0.7385808402422555,True,0.7365375807854477,True,1.0,True,1.0
5.0,True,0.3368842035083267,True,0.3084590619755963,True,0.30754154887741475,True,0.3556538299671123,True,0.20791367203395383,True,0.1767960593502389
6.0,True,0.6859889721640603,True,0.5580371625747271,True,0.5609873794346316,True,0.7413024811128693,True,0.5798282983444273,True,0.516514574880392
7.0,True,0.6859889721640603,True,0.5642366838837187,True,0.6140351246249641,True,0.7030999566835788,True,0.49682918641689255,True,0.4323015873015873
8.0,True,0.6859889721640603,True,0.5642366838837187,True,0.6140351246249641,True,0.7196195543039023,True,0.4979147868260771,True,0.5166666666666667
9.0,True,0.3368842035083267,True,0.3084590619755963,True,0.30754154887741475,True,0.3565904239595918,True,0.2124550104503665,True,0.18693116448567001
10.0,True,0.6859889721640603,True,0.5580371625747271,True,0.5609873794346316,True,0.7093777545586313,True,0.5675309737444846,True,0.5078647869140229
11.0,True,0.6859889721640603,True,0.7311601421722882,True,0.7385808402422555,True,0.662839396871601,True,1.0,True,0.8678571428571429
12.0,True,0.3368842035083267,True,0.6151976485253198,True,0.5543204667916712,True,0.3627939776123795,True,0.8216666666666667,True,0.82
13.0,True,0.6859889721640603,True,0.5580371625747271,True,0.5609873794346316,True,0.6444514223895343,True,0.590881166293687,True,0.4927267033903863
14.0,True,0.6859889721640603,True,0.8398093821059713,True,0.8769588101241599,True,0.6784589646976202,True,0.9571428571428571,True,0.95
15.0,True,0.3368842035083267,True,0.3106416616907445,True,0.3106416616907445,True,0.36419690200979343,True,0.2387491043633534,True,0.5583333333333333
16.0,True,0.3368842035083267,True,0.3084590619755963,True,0.30754154887741475,True,0.3383615247867659,True,0.18503023721853468,True,0.17444526357661694
17.0,True,0.6859889721640603,True,0.5580371625747271,True,0.5540743384496146,True,0.684144704065032,True,0.5684777445275494,True,0.516979995553222
18.0,True,0.6859889721640603,True,0.5580371625747271,True,0.5609873794346316,True,0.6957890365448505,True,0.5690171517287267,True,0.4736618836917178
19.0,True,0.3368842035083267,True,0.3106416616907445,True,0.3106416616907445,True,0.3282650287287231,True,0.19884176187905778,True,0.6666666666666666
20.0,True,0.3368842035083267,True,0.3084590619755963,True,0.30754154887741475,True,0.31573310945711275,True,0.22139338307041273,True,0.19127745212304031
21.0,True,0.6859889721640603,True,0.5580371625747271,True,0.5609873794346316,True,0.6893356873391168,True,0.5803390562738389,True,0.5175652321534674
22.0,True,0.3368842035083267,True,0.6151976485253198,True,0.5543204667916712,True,0.32081930978962053,True,0.8333333333333333,True,0.8533333333333333
23.0,True,0.3368842035083267,True,0.6151976485253198,True,0.7098551469827451,True,0.34417086602653796,True,0.6022222222222222,True,0.6180952380952381
24.0,True,0.6859889721640603,True,0.5966476935204925,True,0.6891889450308456,True,0.7037443720627594,True,0.6318341358599979,True,1.0
25.0,True,0.6859889721640603,True,0.5966476935204925,True,0.6891889450308456,True,0.6772134061289016,True,0.6100465407569919,True,1.0
26.0,True,0.6859889721640603,True,0.5580371625747271,True,0.5609873794346316,True,0.7096085518035028,True,0.5282693634867547,True,0.48135791401580874
27.0,True,0.3368842035083267,True,0.31361677179371045,True,0.4352565066544886,True,0.3053855974873425,True,0.22569428864797011,True,0.22952380952380952
28.0,True,0.3368842035083267,True,0.48725008161866024,True,0.6083673545728311,True,0.3498745671784081,True,0.31722222222222224,True,0.7983333333333333
29.0,True,0.3368842035083267,True,0.3084590619755963,True,0.30754154887741475,True,0.322386190790152,True,0.21559433338503106,True,0.19408007602190433
30.0,True,0.6859889721640603,True,0.5580371625747271,True,0.7143846384641827,True,0.7314075452523381,True,0.5514837094245587,True,0.9608695652173914
31.0,True,0.6859889721640603,True,0.5966476935204925,True,0.6891889450308456,True,0.6654095893587659,True,0.6168501589869777,True,1.0
32.0,True,0.6859889721640603,True,0.5966476935204925,True,0.6891889450308456,True,0.671274254169603,True,0.6081279054328055,True,1.0
33.0,True,0.6859889721640603,True,0.5580371625747271,True,0.5609873794346316,True,0.7310855646826504,True,0.5539663007601539,True,0.5696667580785227
34.0,True,0.6859889721640603,True,0.5580371625747271,True,0.5609873794346316,True,0.6987387465751753,True,0.5412723942723943,True,0.47921290999237226
35.0,True,0.3368842035083267,True,0.3084590619755963,True,0.30754154887741475,True,0.346691316878171,True,0.22904931178790378,True,0.18230750600915033
36.0,True,0.6859889721640603,True,0.7033495238696011,True,0.6682955460938417,True,0.6951498962988414,True,0.7496520146520146,True,0.6875
37.0,True,0.6859889721640603,True,0.5580371625747271,True,0.5609873794346316,True,0.6690308540923332,True,0.5791787713010124,True,0.5098362507058158
38.0,True,0.3368842035083267,True,0.4174713986457807,True,0.36615183777268595,True,0.3297745486709917,True,0.47000000000000003,True,0.25833333333333336
39.0,True,0.3368842035083267,True,0.3084590619755963,True,0.30754154887741475,True,0.3491307822080828,True,0.23073065805083953,True,0.2139376281796051
40.0,True,0.3368842035083267,True,0.31361677179371045,True,0.4352565066544886,True,0.3066948773273729,True,0.20648550587447692,True,0.21666666666666665
41.0,True,0.3368842035083267,True,0.3084590619755963,True,0.30754154887741475,True,0.3758956303002081,True,0.20784412836804553,True,0.17684148436073982
42.0,True,0.6859889721640603,True,0.5966476935204925,True,0.6891889450308456,True,0.7169449561521174,True,0.6281830347081361,True,1.0
43.0,True,0.6859889721640603,True,0.5580371625747271,True,0.5609873794346316,True,0.7315067987140752,True,0.5879020468825868,True,0.5738967245700458
44.0,True,0.3368842035083267,True,0.3084590619755963,True,0.30479353034219114,True,0.33819558517462034,True,0.19180573847375043,True,0.16137636872930988
45.0,True,0.6859889721640603,True,0.5580371625747271,True,0.5609873794346316,True,0.6860908492653008,True,0.5743291863453154,True,0.4970214785214786
46.0,True,0.6859889721640603,True,0.5580371625747271,True,0.5609873794346316,True,0.7174253852501159,True,0.551312621250947,True,0.5789700566992587
47.0,True,0.6859889721640603,True,0.5580371625747271,True,0.5609873794346316,True,0.7238624187777417,True,0.5981279625338847,True,0.5095964610438294
48.0,True,0.6859889721640603,True,0.7033495238696011,True,0.6682955460938417,True,0.7035451567365751,True,0.7250396825396825,True,0.7155555555555555
49.0,True,0.6859889721640603,True,0.5580371625747271,True,0.5609873794346316,True,0.6781561488481405,True,0.5708106279685228,True,0.5475770650779139
50.0,True,0.6859889721640603,True,0.5642366838837187,True,0.6140351246249641,True,0.7116926098494629,True,0.5961215874002548,True,0.5052380952380953
51.0,False,0.7084029428947906,False,0.6072727199328789,False,0.5827387109788558,False,0.7018426734065463,False,0.6370452270096318,False,0.5549456910030338
52.0,False,0.3545672278405261,False,0.3259358181142838,False,0.32633263301429505,False,0.3778299340642961,False,0.20292340274937898,False,0.23730010269011936
53.0,False,0.3545672278405261,False,0.3259358181142838,False,0.32633263301429505,False,0.33959565580109097,False,0.27374247826254117,False,0.21240373968210044
54.0,False,0.3545672278405261,False,0.5752140735987771,False,0.6480059501974158,False,0.34801136760164025,False,0.43083333333333335,False,1.0
55.0,False,0.3545672278405261,False,0.3259358181142838,False,0.32633263301429505,False,0.33573195796943195,False,0.2442572571088399,False,0.18351952201664248
56.0,False,0.3545672278405261,False,0.5752140735987771,False,0.5275035898648917,False,0.3411899702818874,False,0.48297619047619056,False,0.39714285714285713
