Fold,d10_y_test,d10_y_proba,d15_y_test,d15_y_proba,d30_y_test,d30_y_proba,d10wS_y_test,d10wS_y_proba,d15wS_y_test,d15wS_y_proba,d30wS_y_test,d30wS_y_proba
0,True,0.44804869960788457,True,0.48265607085549483,True,0.44804869960788457,True,0.6309210526315789,True,0.23152244410308928,True,0.4386446886446887
1,True,0.45021286494552537,True,0.48265607085549483,True,0.45021286494552537,True,0.10875120952208239,True,0.24686447574365694,True,0.0565197716513506
2,True,0.6133901985442449,True,0.6037036377568703,True,0.6133901985442449,True,0.7416666666666667,True,0.8,True,0.7
3,True,0.5560020313126693,True,0.48265607085549483,True,0.5560020313126693,True,0.654719030969031,True,1.0,True,0.6906493506493506
4,True,0.45021286494552537,True,0.48265607085549483,True,0.45021286494552537,True,0.14582614086238643,True,0.7678571428571429,True,0.7130434782608696
5,True,0.5560020313126693,True,0.48265607085549483,True,0.5560020313126693,True,0.5411236589497459,True,1.0,True,0.4
6,True,0.5560020313126693,True,0.48265607085549483,True,0.5560020313126693,True,0.6017447593685984,True,1.0,True,0.33333333333333337
7,True,0.5560020313126693,True,0.48265607085549483,True,0.5560020313126693,True,0.6369644979203803,True,0.41666666666666663,True,0.255
8,True,0.45021286494552537,True,0.48265607085549483,True,0.45021286494552537,True,0.12038483772710529,True,0.2792161868876925,True,0.5
9,True,0.5560020313126693,True,0.4830772480598919,True,0.5560020313126693,True,0.7195823539205891,True,0.775,True,1.0
10,True,0.44804869960788457,True,0.48265607085549483,True,0.44804869960788457,True,0.3094322344322344,True,0.6683333333333333,True,0.5
11,True,0.4472120530705348,True,0.5806844972710904,True,0.4472120530705348,True,0.39468851249190007,True,0.6,True,1.0
12,True,0.5560020313126693,True,0.48265607085549483,True,0.5560020313126693,True,0.6821555637345111,True,0.23065071339487356,True,0.4886111111111111
13,True,0.5564448638784977,True,0.4831935725165931,True,0.5564448638784977,True,0.8,True,0.96,True,0.8
14,True,0.45021286494552537,True,0.48265607085549483,True,0.45021286494552537,True,0.11131050269570193,True,0.19742454728624145,True,0.03706349206349206
15,True,0.45021286494552537,True,0.4832399999706162,True,0.45021286494552537,True,0.13418808425000375,True,0.6083333333333334,True,0.2
16,True,0.45021286494552537,True,0.4824463829890431,True,0.45021286494552537,True,0.1271210178224117,True,0.02894736842105263,True,0.3038461538461538
17,True,0.5560020313126693,True,0.48265607085549483,True,0.5560020313126693,True,0.6230410928940341,True,0.55,True,0.51
18,True,0.45021286494552537,True,0.48265607085549483,True,0.45021286494552537,True,0.12640420618753054,True,0.615,True,0.1
19,True,0.45021286494552537,True,0.5082801363237871,True,0.45021286494552537,True,0.11430369447937774,True,0.8431818181818181,True,0.32771093230973647
20,True,0.5560020313126693,True,0.5082801363237871,True,0.5560020313126693,True,0.6281468479920491,True,0.8733333333333334,True,0.475
21,True,0.45021286494552537,True,0.48298552583664095,True,0.45021286494552537,True,0.21191526219276727,True,0.525,True,0.8
22,True,0.46671542800513316,True,0.6732169833710142,True,0.46671542800513316,True,0.8,True,1.0,True,0.7
23,True,0.5560020313126693,True,0.48226341972752246,True,0.5560020313126693,True,0.5803030303030303,True,0.23073065900864762,True,0.5353174603174603
24,True,0.5560020313126693,True,0.48265607085549483,True,0.5560020313126693,True,0.5983922939805293,True,0.273153337619411,True,0.26412698412698415
