Fold,d10_y_test,d10_y_proba,d15_y_test,d15_y_proba,d30_y_test,d30_y_proba,d10wS_y_test,d10wS_y_proba,d15wS_y_test,d15wS_y_proba,d30wS_y_test,d30wS_y_proba
0,True,0.37827896269316585,True,0.5481513762216533,True,0.4006503377285532,True,0.4,True,0.5,True,0.6
1,True,0.5908473899414227,True,0.38924467856077805,True,0.6145984142737202,True,0.6528571428571428,True,0.16234126984126981,True,0.5
2,True,0.6215269799307447,True,0.5768787803334356,True,0.6339964720473791,True,1.0,True,0.8,True,0.7
3,True,0.59403677930722,True,0.3864514188415248,True,0.6145984142737202,True,0.9375,True,0.2736666666666667,True,0.6
4,True,0.3135530575041593,True,0.4397863994007918,True,0.31814535047436526,True,0.12539893753552206,True,0.2753821668527551,True,0.55
5,True,0.519933754996054,True,0.3974107912477343,True,0.5286138580433303,True,0.15,True,0.65,True,0.7
6,True,0.519933754996054,True,0.4394271265161519,True,0.5286138580433303,True,0.5091960967309265,True,0.360924010629893,True,0.6185714285714285
7,True,0.519933754996054,True,0.39586853126005306,True,0.5286138580433303,True,0.32857142857142857,True,0.11071428571428572,True,0.1
8,True,0.3104286763282057,True,0.38843348395165395,True,0.3217565748262581,True,0.06666259158125491,True,0.11696054570117538,True,0.0
9,True,0.5253102781179632,True,0.6597902447692741,True,0.5363969116418136,True,0.49444444444444446,True,0.7470588235294118,True,0.8
10,True,0.6415371392592047,True,0.5157494286566808,True,0.6145984142737202,True,0.8583333333333334,True,0.9,True,0.6
11,True,0.4797904356881733,True,0.571558638878125,True,0.4989067145531292,True,0.7058823529411764,True,0.8,True,0.6
12,True,0.519933754996054,True,0.3842676884419796,True,0.5286138580433304,True,0.2773809523809524,True,0.12221290545203589,True,0.0
13,True,0.8258345866097712,True,0.624642749789801,True,0.7587590565196761,True,0.9,True,0.9,True,0.8
14,True,0.3089492785283882,True,0.44159283676579847,True,0.326875155014003,True,0.13867008887170176,True,0.9125,True,0.0
15,True,0.308130098543865,True,0.3973278234188095,True,0.326875155014003,True,0.4306565656565656,True,0.1,True,0.3
16,True,0.609240614059322,True,0.38843348395165395,True,0.6339964720473791,True,0.8814935064935063,True,0.2730769230769231,True,0.5
17,True,0.5253102781179632,True,0.47407901556227544,True,0.5363969116418136,True,0.4316072326366444,True,0.2715277777777778,True,0.14059523809523808
18,True,0.3051856825643952,True,0.47434291595496497,True,0.32235277914729765,True,0.35,True,0.4,True,0.1
19,True,0.30641805169837744,True,0.5373753183646341,True,0.32601017113621666,True,0.35384920634920636,True,0.95,True,0.4
20,True,0.5197822596384758,True,0.4809476870132464,True,0.6092261191447734,True,0.4628968253968254,True,0.5,True,0.2
21,True,0.5301259450358676,True,0.44380901222596064,True,0.49886240416602656,True,0.6,True,0.8,True,0.6
22,True,0.614697445360002,True,0.67869083816597,True,0.5677461394481866,True,0.5,True,1.0,True,0.6
23,True,0.6048497240109455,True,0.43693462788194803,True,0.6145984142737202,True,0.9,True,0.23968187041716454,True,0.51
24,True,0.5937910365991328,True,0.39586853126005306,True,0.6136046287017405,True,0.9466666666666667,True,0.0,True,0.6
