Fold,d10_y_test,d10_y_proba,d15_y_test,d15_y_proba,d30_y_test,d30_y_proba,d10wS_y_test,d10wS_y_proba,d15wS_y_test,d15wS_y_proba,d30wS_y_test,d30wS_y_proba
0,True,0.4358730250268411,True,0.5080709850833288,True,0.4358730250268411,True,0.6,True,0.8,True,0.6
1,True,0.5476117079894867,True,0.47007036956238196,True,0.5476117079894867,True,0.8403174603174604,True,0.1307273233589023,True,0.5
2,True,0.5665969367314182,True,0.5203928953016763,True,0.5665969367314182,True,0.9285714285714285,True,1.0,True,0.7
3,True,0.5476117079894867,True,0.470480378210471,True,0.5476117079894867,True,0.95,True,0.19091563164855385,True,0.8
4,True,0.4350418714938304,True,0.4733813339189351,True,0.4350418714938304,True,0.10518925518925518,True,0.31462204462204457,True,0.35095238095238096
5,True,0.5366163045319514,True,0.47346078140043957,True,0.5366163045319514,True,0.11190476190476191,True,0.5266666666666666,True,0.5
6,True,0.5366163045319514,True,0.4740809531994392,True,0.5366163045319514,True,0.5192997198879552,True,0.29070859695859697,True,0.5888888888888888
7,True,0.5366163045319514,True,0.47346078140043957,True,0.5366163045319514,True,0.15,True,0.1,True,0.1
8,True,0.4350418714938304,True,0.47007036956238196,True,0.4350418714938304,True,0.031357015727725104,True,0.12081464228203358,True,0.2
9,True,0.5366163045319514,True,0.4912383401228934,True,0.5366163045319514,True,0.6,True,0.7,True,1.0
10,True,0.5476117079894867,True,0.47969677224657103,True,0.5476117079894867,True,1.0,True,0.9,True,0.7
11,True,0.47282878986661525,True,0.5317236296081023,True,0.47282878986661525,True,0.7,True,0.7,True,0.5
12,True,0.5366163045319514,True,0.47007036956238196,True,0.5366163045319514,True,0.35273809523809524,True,0.16153123192596877,True,0.0
13,True,0.6026225446183769,True,0.54836758785631,True,0.6026225446183769,True,0.8,True,0.7157894736842105,True,0.8
14,True,0.4350418714938304,True,0.4740809531994392,True,0.4350418714938304,True,0.15394368438292588,True,1.0,True,0.4
15,True,0.4350418714938304,True,0.47346078140043957,True,0.4350418714938304,True,0.28413468013468013,True,0.3,True,0.8
16,True,0.5665969367314182,True,0.47007036956238196,True,0.5665969367314182,True,0.5826984126984127,True,0.4666666666666666,True,0.7
17,True,0.5366163045319514,True,0.47643818854165987,True,0.5366163045319514,True,0.41690727573080516,True,0.444757326007326,True,0.25
18,True,0.4350418714938304,True,0.4911370162998563,True,0.4350418714938304,True,0.5883333333333334,True,0.41666666666666663,True,0.3
19,True,0.4350418714938304,True,0.4741005396937605,True,0.4350418714938304,True,0.36170274170274175,True,0.8214285714285715,True,0.4
20,True,0.5366163045319514,True,0.4705594703375725,True,0.5366163045319514,True,0.377005772005772,True,0.3,True,0.3
21,True,0.47282878986661525,True,0.4758478252995825,True,0.47282878986661525,True,0.3,True,0.7071428571428571,True,0.2
22,True,0.47282878986661525,True,0.5699702905202468,True,0.47282878986661525,True,0.8,True,0.9,True,0.9
23,True,0.5476117079894867,True,0.47361415055535006,True,0.5476117079894867,True,1.0,True,0.20984348984348983,True,0.34285714285714286
24,True,0.5476117079894867,True,0.47346078140043957,True,0.5476117079894867,True,0.9125,True,0.0,True,0.6
