Fold,d10_y_test,d10_y_proba,d15_y_test,d15_y_proba,d30_y_test,d30_y_proba,d10wS_y_test,d10wS_y_proba,d15wS_y_test,d15wS_y_proba,d30wS_y_test,d30wS_y_proba
0,False,0.7371046964903138,False,0.66696364398664,False,0.6577731497136915,False,0.5,False,0.9,False,0.6
1,False,0.3575812678359071,False,0.31470118788937124,False,0.4959470533418569,False,0.3,False,0.0,False,0.3
2,False,0.3575812678359071,False,0.31470118788937124,False,0.31023854091102343,False,0.0,False,0.3,False,0.1
3,False,0.3575812678359071,False,0.5170935448216617,False,0.4634943184310063,False,0.0,False,0.3,False,0.7
4,False,0.5770028615691095,False,0.5789644428765297,False,0.5375836684685869,False,1.0,False,0.6,False,0.6
5,False,0.3720628117807437,False,0.5170935448216617,False,0.45702755063323225,False,0.7,False,0.6,False,0.3
6,False,0.3720628117807437,False,0.31470118788937124,False,0.3102385409110235,False,0.1,False,0.1,False,0.1
7,False,0.3575812678359071,False,0.3621890813565433,False,0.37066341278595644,False,0.1,False,0.2,False,0.2
8,False,0.3575812678359071,False,0.31470118788937124,False,0.3102385409110235,False,1.0,False,0.2,False,0.1
9,False,0.5770028615691095,False,0.5789644428765297,False,0.537583668468587,False,0.4,False,0.7,False,0.5
10,False,0.46774614478049087,False,0.31470118788937124,False,0.3102385409110235,False,0.9,False,0.0,False,0.3
11,False,0.7371046964903138,False,0.6389422890575701,False,0.5987328495195261,False,1.0,False,0.3,False,0.5
12,False,0.3720628117807437,False,0.4104332683704615,False,0.35627705039541796,False,0.7,False,0.3,False,0.5
13,False,0.5770028615691095,False,0.5239652601103832,False,0.5203159728477484,False,0.7,False,0.2,False,0.7
14,False,0.3575812678359071,False,0.4104332683704615,False,0.3562770503954179,False,0.1,False,0.2,False,0.3
15,False,0.7371046964903138,False,0.6389422890575701,False,0.5987328495195262,False,1.0,False,0.6,False,0.5
16,False,0.7807700796093128,False,0.6389422890575701,False,0.5987328495195262,False,0.9,False,0.9,False,0.8
17,False,0.3575812678359071,False,0.5613465765729675,False,0.4181806662709222,False,0.0,False,0.8,False,0.7
18,False,0.3720628117807437,False,0.31470118788937124,False,0.3179297022329824,False,1.0,False,0.5,False,0.4
19,False,0.7371046964903138,False,0.6389422890575701,False,0.5987328495195262,False,1.0,False,0.4,False,0.4
20,False,0.3575812678359071,False,0.31470118788937124,False,0.3102385409110235,False,0.7,False,0.0,False,0.1
21,False,0.3720628117807437,False,0.31470118788937124,False,0.3102385409110235,False,0.3,False,0.1,False,0.1
22,False,0.3575812678359071,False,0.4104332683704615,False,0.3562770503954179,False,0.0,False,0.1,False,0.0
23,False,0.3720628117807437,False,0.31470118788937124,False,0.3102385409110235,False,0.4,False,0.4,False,0.2
24,False,0.7203363577219914,False,0.7015703879225834,False,0.6398432865394089,False,0.7,False,0.3,False,0.4
