Method,Sensitivity,Specificity
Baseline,0.72,0.42
1 Biomarker,0.4,0.88
3 Biomarker,0.45999999999999996,0.74
4 Biomarker,0.45999999999999996,0.72
10 Biomarker,0.45999999999999996,0.74
15 Biomarker,0.24000000000000002,0.76
30 Biomarker,0.48,0.5
