Method,Sensitivity,Specificity
Baseline,0.5800000000000001,0.5800000000000001
1 Biomarker,0.62,0.74
3 Biomarker,0.7,0.6200000000000001
4 Biomarker,0.6799999999999999,0.66
10 Biomarker,0.54,0.5800000000000001
15 Biomarker,0.4,0.62
30 Biomarker,0.45999999999999996,0.6000000000000001
