Method,Sensitivity,Specificity
Baseline,0.66,0.6000000000000001
1 Biomarker,0.44,0.8600000000000001
3 Biomarker,0.48,0.78
4 Biomarker,0.48,0.76
10 Biomarker,0.52,0.76
15 Biomarker,0.26,0.74
30 Biomarker,0.4,0.54
